depth,soundSpeed
0.3,1487.32
0.5,1487.33
0.6,1487.35
0.7,1487.35
0.8,1487.36
1.6,1487.34
2.2,1487.35
2.6,1487.43
3.2,1487.61
3.9,1488.49
4.5,1489.41
5.6,1489.63
6.8,1489.78
8,1489.91
8.3,1490
9.5,1490.05
10.7,1490.22
11.9,1490.61
13.1,1490.85
14.3,1491.45
15.5,1491.83
16.7,1492.15
17.9,1492.61
19.1,1493.01
20.3,1493.33
21.5,1494.41
22.7,1495.04
23.9,1495.45
25.1,1495.49
26.4,1495.47
27.6,1495.52
28.8,1495.75
30,1495.74
31.2,1495.75
32.5,1495.8
33.7,1495.88
34.9,1496.03
36,1496.2
37.3,1495.98
38.5,1495.77
39.7,1495.71
40.9,1495.65
42.2,1495.56
43.5,1495.38
44.7,1495.02
45.9,1494.56
47.2,1494.45
48.4,1494.38
49.6,1494.35
50.9,1494.32
52.1,1494.22
53.3,1494.12
54.5,1493.84
55.7,1493.35
56.9,1492.94
58.1,1492.53
59.3,1492.11
60.5,1491.6
61.7,1491.3
62.9,1490.87
64.1,1490.53
65.3,1490.39
66.5,1490.28
67.7,1490.14
68.9,1489.94
70.1,1489.44
71.3,1489.38
72.4,1489.18
73.6,1488.99
74.8,1488.76
76,1488.41
77.2,1487.94
78.3,1487.41
79.5,1486.65
80.7,1486.18
81.9,1485.63
83.1,1485.29
84.2,1484.81
85.4,1484.63
86.6,1484.56
87.8,1484.47
89,1484.4
90.1,1484.18
91.3,1484.03
92.4,1483.99
93.6,1483.85
94.7,1483.7
95.9,1483.66
97,1483.64
98.2,1483.6
99.4,1483.59
100.5,1483.55
101.6,1483.45
102.8,1483.43
103.9,1483.42
105.1,1483.39
106.2,1483.29
107.4,1483.26
108.5,1483.26
109.6,1483.23
110.8,1483.22
111.9,1483.15
112.9,1483.06
114,1482.96
115.1,1482.96
116.2,1482.98
117.4,1483.04
118.5,1483.07
119.6,1483.1
120.7,1483.1
121.8,1483.11
122.9,1483.15
124,1483.16
125.2,1483.17
126.3,1483.16
127.4,1483.08
128.5,1483.03
129.7,1483.06
130.8,1483.03
132,1483.04
133.1,1483.05
134.3,1483.05
135.4,1483.06
136.5,1483.09
137.6,1483.09
138.7,1483.11
139.9,1483.13
141,1483.15
142.1,1483.15
143.3,1483.14
144.4,1483.13
145.6,1483.13
146.7,1483.15
147.9,1483.16
149,1483.18
150.2,1483.21
151.4,1483.22
152.5,1483.24
153.7,1483.26
154.9,1483.29
156,1483.29
157.2,1483.31
158.3,1483.35
159.5,1483.33
160.6,1483.33
161.8,1483.39
163,1483.41
164.1,1483.42
165.3,1483.42
166.4,1483.44
167.6,1483.44
168.7,1483.47
169.8,1483.49
170.9,1483.51
172,1483.52
173.1,1483.56
174.2,1483.56
175.3,1483.58
176.4,1483.6
177.5,1483.61
178.6,1483.63
179.7,1483.64
180.8,1483.66
181.9,1483.68
182.9,1483.7
184,1483.7
185.2,1483.75
186.3,1483.74
187.4,1483.77
188.5,1483.81
189.6,1483.81
190.7,1483.83
191.7,1483.85
192.8,1483.85
193.9,1483.88
195,1483.9
196.1,1483.93
197.1,1483.92
198.2,1483.96
199.2,1483.97
200.3,1483.99
201.1,1484.03
201.2,1484.02
