Time,Latitude,Longitude,Depth,Altitude,Chlorophyll,cDOM,DissolvedOxygen
1569491869.99,63.58129999,10.50132411,0.044401,-1,0.9708999991,5.7343997955,239.731333333333
1569491871.14,63.58128994,10.50129917,0.035493,-1,1.0292999744,5.913599968,239.514
1569491872.24,63.58128621,10.50129159,0.074353,-1,1.1315000057,6.5408000946,266.54
1569491873.391,63.581284,10.50128402,0.033391,-1,1.0803999901,5.913599968,240.168
1569491874.491,63.58128057,10.50127478,0.049777,-1,1.0585000515,5.7343997955,239.669
1569491875.64,63.58127816,10.50126888,0.057842,-1,1.1315000057,6.0032000542,239.515
1569491876.74,63.58127674,10.50126283,0.032766,-1,0.9125000238,6.0928001404,239.653
1569491877.891,63.58127936,10.50126428,0.084565,-1,0.8759999871,5.5552000999,239.624
1569491878.991,63.58128119,10.50126915,0.087367,-1,0.9052000046,5.5552000999,239.624
1569491880.14,63.5812837,10.50128836,0.041976,-1,0.934400022,5.8239998817,239.604
1569491881.24,63.58128407,10.50130782,0.061641,-1,0.8759999871,6.0032000542,239.642
1569491882.39,63.58128272,10.50132881,0.075531,-1,0.9416999817,6.0928001404,239.553
1569491883.491,63.58127968,10.5013479,0.07143,-1,0.8833000064,6.0032000542,239.528
1569491884.64,63.58127534,10.50137096,0.054048,-1,0.8833000064,5.6448001862,239.452
1569491885.74,63.58126765,10.50139177,0.067176,-1,0.934400022,5.4656000137,239.53
1569491886.89,63.58125789,10.50141328,0.077484,-1,0.9125000238,5.8239998817,239.504
1569491888.04,63.58124577,10.50143679,0.081417,-1,0.9052000046,5.8239998817,239.4295
1569491889.14,63.58123209,10.50144979,0.110088,-1,0.9052000046,5.4656000137,239.423
1569491890.291,63.58122035,10.5014692,0.133701,-1,0.9271000028,5.8239998817,239.409
1569491891.391,63.58121185,10.50148936,0.19553,-1,0.9854999781,5.8239998817,239.346
1569491892.54,63.58120242,10.50151207,0.364463,-1,0.9854999781,6.3615999222,239.199
1569491893.64,63.58119392,10.50153956,0.687314,-1,0.9052000046,5.7343997955,239.392
1569491894.79,63.58118353,10.50158294,1.198268,-1,0.934400022,6.0032000542,239.388
1569491895.891,63.58117786,10.50162447,1.80234,-1,1.0219999552,5.3759999275,239.298
1569491897.04,63.58116959,10.50167306,2.522275,-1,1.1606999636,5.913599968,239.2195
1569491898.14,63.58116035,10.50171584,3.212034,-1,1.299399972,5.8239998817,239.121
1569491899.29,63.58114889,10.50175805,3.930469,-1,1.3724000454,6.0928001404,239.125
1569491900.39,63.58113716,10.5017975,4.63663,-1,1.5111000538,6.271999836,238.946
1569491901.54,63.58112437,10.50183782,5.386823,-1,1.4453999996,5.8239998817,238.89
1569491902.64,63.58111212,10.50187624,6.108905,-1,1.4234999418,6.271999836,238.736
1569491903.791,63.58109943,10.50191658,6.811423,-1,1.4818999767,5.8239998817,238.514
1569491904.891,63.5810875,10.50195543,7.515904,-1,1.4089000225,6.0032000542,238.372
1569491906.04,63.58107515,10.50199604,8.297908,-1,1.394299984,6.1824002266,238.2005
1569491907.14,63.58106348,10.50203513,9.021318,-1,1.4016000032,6.0032000542,238.019
1569491908.29,63.58105133,10.50207621,9.739799,-1,1.2920999527,6.271999836,238.104
1569491909.44,63.5810392,10.50211716,10.534672,-1,1.0292999744,5.7343997955,237.273
1569491910.54,63.58102779,10.50215574,11.256667,-1,0.8978999853,5.6448001862,236.336
1569491911.691,63.5810158,10.50219529,11.963264,-1,0.8759999871,5.5552000999,235.64
1569491912.791,63.58100439,10.5022325,12.667609,-1,0.8540999889,5.6448001862,234.974
1569491913.94,63.58099261,10.50227108,13.40173,-1,0.8614000082,5.1968002319,234.556
1569491915.04,63.58098163,10.50230768,14.071188,-1,0.8540999889,5.1968002319,233.1185
1569491916.19,63.58097018,10.50234549,14.743631,-1,0.8248999715,5.1072001457,232.275
1569491917.29,63.58095931,10.50238123,15.411926,-1,0.8029999733,4.9279999733,231.994
1569491918.44,63.58094813,10.50241826,16.125793,-1,0.7810999751,5.3759999275,231.644
1569491919.54,63.58093747,10.50245324,16.76919,-1,0.7300000191,5.0176000595,231.203
1569491920.691,63.58092637,10.50248934,17.410084,-1,0.6934999824,4.9279999733,230.687
1569491921.79,63.58091591,10.50252371,18.036964,-1,0.6132000089,4.8383998871,230.331
1569491922.94,63.58090535,10.50255974,18.717455,-1,0.5766999722,4.8383998871,229.548
1569491924.04,63.58089541,10.50259404,19.32229,-1,0.5620999932,4.3903999329,228.3205
1569491925.191,63.58088499,10.50262956,19.918873,-1,0.5475000143,4.7487998009,227.469
1569491926.291,63.58087495,10.50266314,20.502455,-1,0.5182999969,4.2112002373,226.958
1569491927.44,63.58086446,10.50269793,21.136452,-1,0.5256000161,4.2112002373,226.691
1569491928.54,63.58085458,10.50273106,21.696001,-1,0.467200011,4.4800000191,226.103
1569491929.691,63.58084428,10.50276552,22.238419,-1,0.4379999936,4.0320000648,225.171
1569491930.791,63.58083451,10.50279825,22.774721,-1,0.4234000146,3.8527998924,224.734
1569491931.94,63.58082445,10.5028325,23.347391,-1,0.3869000077,4.0320000648,224.277
1569491933.04,63.58081492,10.50286504,23.864317,-1,0.3869000077,4.0320000648,223.4575
1569491934.19,63.58080484,10.50289855,24.380718,-1,0.3504000008,4.1216001511,222.934
1569491935.29,63.58079503,10.50292989,24.923626,-1,0.3576999903,3.8527998924,222.201
1569491936.44,63.58078466,10.50296215,25.489481,-1,0.3431000113,4.2112002373,221.853
1569491937.54,63.58077484,10.50299283,26.009693,-1,0.3357999921,3.7632000446,221.386
1569491938.69,63.58076481,10.50302492,26.535164,-1,0.3285000026,3.7632000446,220.905
1569491939.79,63.58075535,10.50305553,27.059561,-1,0.3066000044,3.4047999382,220.363
1569491940.94,63.58074561,10.50308747,27.626129,-1,0.2847000062,3.5840001106,220.161
